id,frecuencia,dist_km
15516,104.5,159.802
73217,95.0,159.806
73217,90.5,159.87
17001,103.2,160.553
15272,98.6,160.641
68179,98.7,160.734
15047,106.6,161.073
68298,101.4,161.242
68298,89.2,161.449
50370,90.3,161.454
50370,106.7,161.454
15516,96.6,161.492
15272,101.6,161.604
5483,107.4,161.694
17001,101.7,161.774
17486,105.7,161.776
17001,91.7,161.776
17873,99.7,161.818
17001,95.7,161.818
17001,101.2,161.87
5483,94.3,162.258
15516,103.1,162.544
73504,98.0,162.697
15759,96.1,162.863
17001,103.7,162.935
17001,96.3,162.976
15806,91.0,162.986
15806,88.6,162.986
15491,107.3,162.986
15759,88.1,162.987
50370,88.3,163.194
50711,99.3,164.314
15185,100.6,164.458
15185,105.6,164.533
17001,89.7,164.601
17614,95.1,164.601
73483,88.1,164.822
15806,100.6,164.835
15686,96.6,166.099
41206,89.3,166.788
17873,107.3,166.964
41206,98.8,167.329
73483,91.8,167.851
5055,88.1,168.14
5055,105.4,168.14
73483,106.0,168.157
17001,90.3,168.784
85410,94.7,169.005
63690,92.1,169.486
73124,98.5,170.621
68770,107.7,170.642
17486,93.1,170.669
15759,106.1,171.271
15238,90.6,171.387
15238,107.7,171.398
15518,94.1,171.776
15491,106.6,171.936
15238,93.1,171.975
68673,88.2,172.04
73024,102.5,172.253
15238,97.3,172.591
15238,90.1,172.627
15759,99.1,172.747
17050,104.1,172.829
68770,102.2,172.992
68385,107.2,173.071
63001,96.7,173.214
63001,107.7,173.235
68385,92.7,173.579
50577,92.8,173.616
50577,104.7,173.66
63001,101.4,173.732
63001,102.1,173.871
17174,104.1,174.399
17174,89.1,174.399
68397,103.2,174.569
63272,97.3,174.792
63272,90.1,174.792
50711,88.5,174.93
15466,94.1,174.992
63130,104.7,175.02
63001,90.7,175.134
15693,98.6,175.63
63130,98.7,175.658
63190,104.1,175.673
50711,94.8,175.704
63190,106.4,176.211
66682,104.1,176.782
85010,107.7,176.836
17272,92.1,177.206
63130,93.1,177.491
5585,106.7,177.503
5585,104.4,177.73
17524,106.1,178.013
17524,97.2,178.02
17653,97.1,178.036
63001,103.4,178.215
73675,101.0,178.273
66170,105.2,179.125
73675,107.8,179.155
66001,97.7,179.525
50577,88.8,179.653
73675,106.0,180.003
15693,98.1,180.172
66001,94.7,180.236
73168,91.2,180.362
5756,95.8,180.457
5756,104.4,180.836
5756,106.1,180.85
63001,89.4,181.125
68190,96.7,181.134
68190,89.0,181.134
17653,90.1,181.496
15820,98.6,181.694
17513,92.1,182.061
73168,93.5,182.105
5585,91.3,182.152
15114,96.6,182.269
63001,98.1,182.299
63001,106.9,182.308
68190,107.7,182.364
66001,94.2,182.421
17013,100.1,182.49
15276,100.0,182.746
17513,96.7,183.312
63212,90.1,183.374
85010,96.4,183.464
85010,105.3,183.471
15464,94.6,183.517
66170,92.1,183.731
63594,96.1,183.738
15464,100.6,183.913
5660,103.1,184.069
5660,88.4,184.493
5652,89.4,184.563
15276,94.1,184.821
66001,107.9,184.834
68245,101.4,184.914
66001,95.6,184.987
66001,100.2,184.993
66001,99.1,185.017
66001,102.7,185.176
66001,88.2,185.213
66001,93.3,185.222
66001,100.7,185.261
66001,88.7,185.262
66001,93.7,185.262
15215,89.6,185.262
15215,105.7,185.264
17388,93.1,186.016
76845,104.1,186.305
15296,105.1,186.419
15296,90.6,186.476
73622,93.0,186.598
63548,92.1,186.711
66001,99.5,187.062
73622,98.1,187.233
73622,95.0,187.277
15162,100.6,187.479
17013,93.1,187.73
68320,94.2,188.046
63594,91.7,188.097
66440,104.4,188.19
68320,107.7,188.307
50370,98.3,188.827
76020,103.4,188.958
63470,99.7,189.431
15377,91.1,189.465
50370,88.8,189.837
63111,106.9,189.882
73067,107.1,189.9
66440,90.1,190.114
73168,89.5,190.117
15377,90.6,190.255
68211,92.5,190.492
68211,88.2,190.492
73067,105.5,190.595
15377,104.6,190.817
68720,91.2,190.97
73067,102.5,191.325
73168,88.7,192.066
63401,91.3,192.315
15087,90.6,192.857
17442,104.1,192.88
63401,103.9,193.779
68264,88.2,193.94
15092,89.1,194.412
5197,107.4,194.628
85001,93.7,195.381
68500,91.2,195.427
85001,91.7,195.541
85001,95.3,195.597
85001,92.7,195.91
85001,106.3,195.927
85001,90.5,195.976
85001,89.2,196.036
85001,107.7,196.098
15790,106.6,196.109
17777,107.7,196.29
17777,92.1,196.29
5002,107.4,196.396
5649,88.5,196.432
15790,92.1,196.574
85139,107.9,196.659
17616,104.1,197.02
17614,103.0,197.321
5649,96.3,197.514
66594,91.1,197.65
17088,90.1,197.655
66088,107.1,197.665
17665,90.1,197.983
5197,88.9,198.493
68322,107.2,198.669
85139,88.7,198.805
85139,97.7,198.806
63302,101.0,199.049
66594,89.3,199.572
63302,93.1,199.677
68176,103.2,200.08
85001,88.3,200.18
85001,89.7,200.199
17614,106.6,200.541
17614,103.4,200.541
17614,90.1,200.541
15839,96.6,200.766
76122,103.2,201.171
5145,89.4,201.173
73168,92.5,201.693
17042,102.5,201.776
66400,104.1,202.154
76147,95.1,202.415
41078,91.2,202.516
41078,88.8,202.516
41078,100.8,202.702
76147,89.0,204.087
15537,98.6,204.096
5400,107.4,204.3
76400,89.2,204.391
66318,104.1,204.407
5579,90.3,204.751
5313,104.4,204.822
68167,103.2,205.068
17614,98.1,205.226
5579,89.4,205.345
68167,100.4,205.386
68209,88.2,206.618
41872,107.8,206.683
41872,93.3,207.287
17877,92.1,207.453
5142,88.3,207.581
41016,106.8,208.656
41016,98.8,208.657
68745,91.2,208.987
5142,105.4,209.038
15533,98.6,209.042
15550,99.1,209.102
5667,102.3,209.715
5148,103.4,209.78
